我男友很喜欢游泳,"type: gender
subject: 100
relation: 性别
entity: 女
score: 90
candidateAnswer: 嗯？你是小姑娘吗？小影怎么记得你是帅哥啊？好吧……那伦家知道了，你是小姑娘~
conflict: True
","type: location
subject: 100
relation: 所在地
entity: 上海
score: 90
candidateAnswer: None
conflict: False
","type: hobby
subject: 100
relation: 喜欢
entity: 游泳
score: 90
candidateAnswer: 人家早知道~，你猜为什么？因为你说过哟哈哈哈
conflict: False
"
我男票喜欢打篮球,"type: gender
subject: 100
relation: 性别
entity: 女
score: 90
candidateAnswer: None
conflict: False
","type: location
subject: 100
relation: 所在地
entity: 上海
score: 90
candidateAnswer: None
conflict: False
","type: hobby
subject: 100
relation: 喜欢
entity: 篮球
score: 90
candidateAnswer: 嗯嗯，小影早就了解呢，你曾说过的话小影会默默记在心里
conflict: False
"
我男朋友特喜欢踢足球,"type: gender
subject: 100
relation: 性别
entity: 女
score: 90
candidateAnswer: None
conflict: False
","type: location
subject: 100
relation: 所在地
entity: 上海
score: 90
candidateAnswer: None
conflict: False
","type: hobby
subject: 100
relation: 喜欢
entity: 足球
score: 90
candidateAnswer: 嗯嗯，小影早就了解呢，你曾说过的话小影会默默记在心里
conflict: False
"
我男票很喜欢溜冰,"type: gender
subject: 100
relation: 性别
entity: 女
score: 90
candidateAnswer: None
conflict: False
","type: location
subject: 100
relation: 所在地
entity: 上海
score: 90
candidateAnswer: None
conflict: False
","type: hobby
subject: 100
relation: 喜欢
entity: 溜冰
score: 90
candidateAnswer: 早知道了呢，小影是不是很厉害呀，怕了么哈哈哈
conflict: False
"
我和我男票都很喜欢玩滑板,"type: gender
subject: 100
relation: 性别
entity: 女
score: 90
candidateAnswer: None
conflict: False
","type: location
subject: 100
relation: 所在地
entity: 上海
score: 90
candidateAnswer: None
conflict: False
","type: hobby
subject: 100
relation: 喜欢
entity: 滑板
score: 90
candidateAnswer: 悄悄告诉你，小影早就知道了哦
conflict: False
"
我女票很喜欢跑步,"type: gender
subject: 100
relation: 性别
entity: 男
score: 90
candidateAnswer: 你不是说你是大美女吗？那这样以后小影把你当帅锅喽~
conflict: True
","type: location
subject: 100
relation: 所在地
entity: 上海
score: 90
candidateAnswer: None
conflict: False
","type: hobby
subject: 100
relation: 喜欢
entity: 跑步
score: 90
candidateAnswer: 悄悄告诉你，小影早就知道了哦
conflict: False
"
我男票迷上了动作电影,"type: gender
subject: 100
relation: 性别
entity: 女
score: 90
candidateAnswer: 嗯？你是美女吗？小影怎么记得你是男生啊？好吧……那伦家知道了，你是美女~
conflict: True
","type: location
subject: 100
relation: 所在地
entity: 上海
score: 90
candidateAnswer: None
conflict: False
"
我男朋友喜欢看励志型的生活片,"type: gender
subject: 100
relation: 性别
entity: 女
score: 90
candidateAnswer: None
conflict: False
","type: location
subject: 100
relation: 所在地
entity: 上海
score: 90
candidateAnswer: None
conflict: False
"
我女友喜欢的明星是鹿晗,"type: gender
subject: 100
relation: 性别
entity: 男
score: 90
candidateAnswer: 你不是说你是小姑娘吗？那这样以后小影把你当男生喽~
conflict: True
","type: location
subject: 100
relation: 所在地
entity: 上海
score: 90
candidateAnswer: None
conflict: False
","type: hobby
subject: 100
relation: 喜欢
entity: 鹿晗
score: 90
candidateAnswer: 哎哟喂，你都有对象了呀，小影好羡慕的说~~
conflict: False
"
我男票喜欢的歌手是周杰伦,"type: gender
subject: 100
relation: 性别
entity: 女
score: 90
candidateAnswer: 嗯？你是女生吗？小影怎么记得你是男的啊？好吧……那伦家知道了，你是女生~
conflict: True
","type: location
subject: 100
relation: 所在地
entity: 上海
score: 90
candidateAnswer: None
conflict: False
","type: hobby
subject: 100
relation: 喜欢
entity: 周杰伦
score: 90
candidateAnswer: 你的亲亲对象喜欢喜欢哦，小影牢记于心！
conflict: False
"
我女票很爱唱歌,"type: gender
subject: 100
relation: 性别
entity: 男
score: 90
candidateAnswer: 额……小影记得你是小姑娘呢，那以后人家当你是男的咯~ 
conflict: True
","type: location
subject: 100
relation: 所在地
entity: 上海
score: 90
candidateAnswer: None
conflict: False
"
我男票喜欢听梁静茹的歌,"type: gender
subject: 100
relation: 性别
entity: 女
score: 90
candidateAnswer: 额……小影记得你是男生呢，那以后人家当你是妹子咯~ 
conflict: True
","type: location
subject: 100
relation: 所在地
entity: 上海
score: 90
candidateAnswer: None
conflict: False
","type: hobby
subject: 100
relation: 喜欢
entity: 梁静茹
score: 90
candidateAnswer: 原来你男朋友喜欢喜欢呀，哎哟不错哟~
conflict: False
"
我女友喜欢听抒情歌曲,"type: gender
subject: 100
relation: 性别
entity: 男
score: 90
candidateAnswer: 你不是说你是姑娘吗？那这样以后小影把你当帅锅喽~
conflict: True
","type: location
subject: 100
relation: 所在地
entity: 上海
score: 90
candidateAnswer: None
conflict: False
"
我男票很喜欢有节奏感的歌曲,"type: gender
subject: 100
relation: 性别
entity: 女
score: 90
candidateAnswer: 你不是说你是男生吗？那这样以后小影把你当女的喽~
conflict: True
","type: location
subject: 100
relation: 所在地
entity: 上海
score: 90
candidateAnswer: None
conflict: False
","type: hobby
subject: 100
relation: 喜欢
entity: 节奏感的歌曲
score: 90
candidateAnswer: 小影帮你记住啦，你的亲亲对象喜欢喜欢啦，妈妈再也不用担心你忘记对象喜欢的东东啦~~
conflict: False
"
宝宝的男票最讨厌玫瑰花啊,"type: gender
subject: 100
relation: 性别
entity: 女
score: 90
candidateAnswer: None
conflict: False
","type: location
subject: 100
relation: 所在地
entity: 上海
score: 90
candidateAnswer: None
conflict: False
"
我女票很喜欢栀子花,"type: gender
subject: 100
relation: 性别
entity: 男
score: 90
candidateAnswer: 你不是说你是女生吗？那这样以后小影把你当帅哥喽~
conflict: True
","type: location
subject: 100
relation: 所在地
entity: 上海
score: 90
candidateAnswer: None
conflict: False
","type: hobby
subject: 100
relation: 喜欢
entity: 栀子花
score: 90
candidateAnswer: 小影真的好羡慕你有对象哦，小影也想要爱的抱抱~~
conflict: False
"
我男票最喜欢的颜色是黑色,"type: gender
subject: 100
relation: 性别
entity: 女
score: 90
candidateAnswer: 你不是说你是男的吗？那这样以后小影把你当女孩子喽~
conflict: True
","type: location
subject: 100
relation: 所在地
entity: 上海
score: 90
candidateAnswer: None
conflict: False
"
我女票喜欢留短发,"type: gender
subject: 100
relation: 性别
entity: 男
score: 90
candidateAnswer: 嗯？你是男生吗？小影怎么记得你是美女啊？好吧……那伦家知道了，你是男生~
conflict: True
","type: location
subject: 100
relation: 所在地
entity: 上海
score: 90
candidateAnswer: None
conflict: False
","type: hobby
subject: 100
relation: 喜欢
entity: 短发
score: 90
candidateAnswer: 既然喜欢~能告诉小影原因吗？
conflict: False
"
我男票喜欢女生留长发,"type: gender
subject: 100
relation: 性别
entity: 女
score: 90
candidateAnswer: 额……小影记得你是帅锅呢，那以后人家当你是小姑娘咯~ 
conflict: True
","type: location
subject: 100
relation: 所在地
entity: 上海
score: 90
candidateAnswer: None
conflict: False
"
我男票喜欢蓝色,"type: gender
subject: 100
relation: 性别
entity: 女
score: 90
candidateAnswer: None
conflict: False
","type: location
subject: 100
relation: 所在地
entity: 上海
score: 90
candidateAnswer: None
conflict: False
","type: hobby
subject: 100
relation: 喜欢
entity: 蓝色
score: 90
candidateAnswer: 既然喜欢~能告诉小影原因吗？
conflict: False
"
我女票喜欢化浓妆,"type: gender
subject: 100
relation: 性别
entity: 男
score: 90
candidateAnswer: 你不是说你是小姑娘吗？那这样以后小影把你当男的喽~
conflict: True
","type: location
subject: 100
relation: 所在地
entity: 上海
score: 90
candidateAnswer: None
conflict: False
","type: hobby
subject: 100
relation: 喜欢
entity: 浓妆
score: 90
candidateAnswer: 小影真的好羡慕你有对象哦，小影也想要爱的抱抱~~
conflict: False
"
我男票爱玩英雄联盟,"type: gender
subject: 100
relation: 性别
entity: 女
score: 90
candidateAnswer: 嗯？你是女孩子吗？小影怎么记得你是男生啊？好吧……那伦家知道了，你是女孩子~
conflict: True
","type: location
subject: 100
relation: 所在地
entity: 上海
score: 90
candidateAnswer: None
conflict: False
","type: hobby
subject: 100
relation: 喜欢
entity: 英雄联盟
score: 90
candidateAnswer: 你的亲亲对象喜欢喜欢哦，小影牢记于心！
conflict: False
"
我男票是魔兽迷,"type: gender
subject: 100
relation: 性别
entity: 女
score: 90
candidateAnswer: None
conflict: False
","type: location
subject: 100
relation: 所在地
entity: 上海
score: 90
candidateAnswer: None
conflict: False
"
我女友特爱吃冰淇淋,"type: gender
subject: 100
relation: 性别
entity: 男
score: 90
candidateAnswer: 额……小影记得你是姑娘呢，那以后人家当你是男生咯~ 
conflict: True
","type: location
subject: 100
relation: 所在地
entity: 上海
score: 90
candidateAnswer: None
conflict: False
","type: hobby
subject: 100
relation: 喜欢
entity: 冰淇淋
score: 90
candidateAnswer: 原来你女朋友喜欢喜欢呀，哎哟不错哟~
conflict: False
"
我女票喜欢吃水分多的水果,"type: gender
subject: 100
relation: 性别
entity: 男
score: 90
candidateAnswer: None
conflict: False
","type: location
subject: 100
relation: 所在地
entity: 上海
score: 90
candidateAnswer: None
conflict: False
","type: hobby
subject: 100
relation: 喜欢
entity: 水果
score: 90
candidateAnswer: 原来你女朋友喜欢喜欢呀，哎哟不错哟~
conflict: False
"
